가	k a
모르게	m o ɾ ɯ g e
모르겐네	m o ɾ ɯ g e n n e
모르고	m o ɾ ɯ g o
모르구	m o ɾ ɯ g u
모르나	m o ɾ ɯ n a
모르는	m o ɾ ɯ n ɯ n
모르다가	m o ɾ ɯ d a g a
모른다	m o ɾ ɯ n t a
모를	m o ɾ ɯ l
모름니다	m o ɾ ɯ m n i d a
모메	m o m e
모므로	m o m ɯ ɾ o
모믄	m o m ɯ n
모믈	m o m ɯ l
모미	m o m i
모밀	m o m i l
모바일	m o b a i l
모성의	m o s ʌ ŋ ɰ i
모셔다	m o s j ʌ d a
모스베	m o s ɯ b e
모스블	m o s ɯ b ɯ l
모스크바도	m o s ɯ kʰ ɯ b a d o
모슨	m o s ɯ n
모양으로	m o j a ŋ ɯ ɾ o
모양을	m o j a ŋ ɯ l
모양이군	m o j a ŋ i g u n
모양이다	m o j a ŋ i d a
모양인지	m o j a ŋ i n t͡ɕ i
모여	m o j ʌ
모여드는	m o j ʌ d ɯ n ɯ n
모여드럳따	m o j ʌ d ɯ ɾ ʌ t̚ t͈ a
모엳떤	m o j ʌ t̚ t͈ ʌ n
모요글	m o j o g ɯ l
모의	m o ɰ i
모이를	m o i ɾ ɯ l
모인	m o i n
모자는	m o d͡ʑ a n ɯ n
모자로	m o d͡ʑ a ɾ o
모조리	m o d͡ʑ o ɾ i
모지팜니다	m o d͡ʑ i pʰ a m n i d a
모진	m o d͡ʑ i n
모콰	m o kʰ w a
모타게	m o tʰ a g e
모타고	m o tʰ a g o
모타는	m o tʰ a n ɯ n
모타는구나	m o tʰ a n ɯ n k u n a
모타니	m o tʰ a n i
모타리라	m o tʰ a ɾ i l a
모타셔요	m o tʰ a s j ʌ j o
모타여	m o tʰ a j ʌ
모타엳따	m o tʰ a j ʌ t̚ t͈ a
모탄	m o tʰ a n
모탄다는	m o tʰ a n t a n ɯ n
모탈	m o tʰ a l
모태	m o tʰ ɛ
모태서	m o tʰ ɛ s ʌ
모탣따	m o tʰ ɛ t̚ t͈ a
모터는	m o tʰ ʌ n ɯ n
모퉁이로	m o tʰ u ŋ i ɾ o
목꾸멍에서	m o k̚ k͈ u m ʌ ŋ e s ʌ
목꾸멍이	m o k̚ k͈ u m ʌ ŋ i
목떨미를	m o k̚ t͈ ʌ l m i ɾ ɯ l
목쏘리가	m o k̚ s͈ o ɾ i g a
목쏘리는	m o k̚ s͈ o ɾ i n ɯ n
목쏘리로	m o k̚ s͈ o ɾ i l o
목쏘리와	m o k̚ s͈ o ɾ i w a
목쑤믈	m o k̚ s͈ u m ɯ l
목쑴	m o k̚ s͈ u m
목짜이다	m o k̚ t͡ɕ͈ a i d a
목쩍찌가	m o k̚ t͡ɕ͈ ʌ k̚ t͡ɕ͈ i g a
목쩍찌에	m o k̚ t͡ɕ͈ ʌ k̚ t͡ɕ͈ i e
목청이	m o k̚ t͡ɕʰ ʌ ŋ i
몬	m o n
몯	m o t̚
몯까서	m o t̚ k͈ a s ʌ
몯따	m o t̚ t͈ a
몯빠키며	m o t̚ p͈ a kʰ i m j ʌ
몯뽄체	m o t̚ p͈ o n t͡ɕʰ e
몯짜리에는	m o t̚ t͡ɕ͈ a ɾ i e n ɯ n
몰두하는	m o l t u h a n ɯ n
몰라본단	m o l l a b o n t a n
몰라하는	m o l l a h a n ɯ n
몰랃따	m o l l a t̚ t͈ a
몰래	m o l l ɛ
몰려	m o l l j ʌ
몰려드러	m o l l j ʌ d ɯ ɾ ʌ
몰쌍시기다	m o l s͈ a ŋ s i g i d a
몸	m o m
몸과	m o m k w a
몸둘	m o m t u l
몸뚱이를	m o m t͈ u ŋ i ɾ ɯ l
몸집꽈	m o m t͡ɕ i p̚ k͈ w a
몹씨	m o p̚ s͈ i
몹씨도	m o p̚ s͈ i d o
몽금포나	m o ŋ k ɯ m pʰ o n a
몽금포에	m o ŋ k ɯ m pʰ o e
몽마른	m o ŋ m a ɾ ɯ n
몽메인	m o ŋ m e i n
무거운	m u g ʌ u n
무거워지매	m u g ʌ w ʌ d͡ʑ i m ɛ
무겁꼬	m u g ʌ p̚ k͈ o
무겁따는	m u g ʌ p̚ t͈ a n ɯ n
무궁화	m u g u ŋ h w a
무기는	m u g i n ɯ n
무기명으로	m u g i m j ʌ ŋ ɯ ɾ o
무너저쓰니	m u n ʌ d͡ʑ ʌ s͈ ɯ n i
무너지고	m u n ʌ d͡ʑ i g o
무늘	m u n ɯ l
무니	m u n i
무다느로	m u d a n ɯ ɾ o
무대	m u d ɛ
무대로	m u d ɛ ɾ o
무딘	m u d i n
무러	m u ɾ ʌ
무럳따	m u ɾ ʌ t̚ t͈ a
무럳떤	m u ɾ ʌ t̚ t͈ ʌ n
무럳씀니다	m u ɾ ʌ t̚ s͈ ɯ m n i d a
무레	m u ɾ e
무르니	m u ɾ ɯ n i
무르면	m u ɾ ɯ m j ʌ n
무르베	m u ɾ ɯ b e
무르블	m u ɾ ɯ b ɯ l
무르비	m u ɾ ɯ b i
무른	m u ɾ ɯ n
무륻	m u ɾ ɯ t̚
무를	m u ɾ ɯ l
무리	m u ɾ i
무명저고리를	m u m j ʌ ŋ t͡ɕ ʌ g o ɾ i l ɯ l
무사히	m u s a h i
무상하믈	m u s a ŋ h a m ɯ l
무새칸	m u s ɛ kʰ a n
무새캐서	m u s ɛ kʰ ɛ s ʌ
무서운	m u s ʌ u n
무섭께	m u s ʌ p̚ k͈ e
무소시기	m u s o s i g i
무슨	m u s ɯ n
무슬	m u s ɯ l
무시무시한	m u s i m u s i h a n
무신경	m u s i n k j ʌ ŋ
무어가	m u ʌ g a
무어라고	m u ʌ ɾ a g o
무어세	m u ʌ s e
무어슬	m u ʌ s ɯ l
무어시	m u ʌ s i
무어시냐	m u ʌ s i n j a
무어시든지	m u ʌ s i d ɯ n t͡ɕ i
무어시라고	m u ʌ s i ɾ a g o
무어시람	m u ʌ s i ɾ a m
무어신지	m u ʌ s i n t͡ɕ i
무언가가	m u ʌ n k a g a
무언중에	m u ʌ n t͡ɕ u ŋ e
무언지	m u ʌ n t͡ɕ i
무얻까치	m u ʌ t̚ k͈ a t͡ɕʰ i
무얻뽀다도	m u ʌ t̚ p͈ o d a t o
무얻뿌터	m u ʌ t̚ p͈ u tʰ ʌ
무의식까네	m u ɰ i s i k̚ k͈ a n e
무정처하고	m u d͡ʑ ʌ ŋ t͡ɕʰ ʌ h a g o
무척	m u t͡ɕʰ ʌ k̚
무틀	m u tʰ ɯ l
무한한	m u h a n h a n
무한히	m u h a n h i
무형무른	m u h j ʌ ŋ m u ɾ ɯ n
무형한	m u h j ʌ ŋ h a n
묵찌칸	m u k̚ t͡ɕ͈ i kʰ a n
문	m u n
문꼬리를	m u n k͈ o ɾ i l ɯ l
문는	m u n n ɯ n
문득	m u n t ɯ k̚
문명이라	m u n m j ʌ ŋ i ɾ a
문바끌	m u n p a k͈ ɯ l
문재인	m u n t͡ɕ ɛ i n
문저네	m u n t͡ɕ ʌ n e
문제	m u n t͡ɕ e
문제는	m u n t͡ɕ e n ɯ n
문제저믈	m u n t͡ɕ e d͡ʑ ʌ m ɯ l
문치타고	m u n t͡ɕʰ i tʰ a g o
문화로	m u n h w a ɾ o
문화예수릐	m u n h w a j e s u ɾ i
묻꼬	m u t̚ k͈ o
묻끼도	m u t̚ k͈ i d o
묻찌	m u t̚ t͡ɕ͈ i
물	m u l
물가치	m u l k a t͡ɕʰ i
물게	m u l k e
물겨리	m u l k j ʌ ɾ i
물결가치	m u l k j ʌ l k a t͡ɕʰ i
물과	m u l k w a
물그르슬	m u l k ɯ ɾ ɯ s ɯ l
물끄러미	m u l k͈ ɯ ɾ ʌ m i
물러나서	m u l l ʌ n a s ʌ
물러섣따	m u l l ʌ s ʌ t̚ t͈ a
물러안즈며	m u l l ʌ a n t͡ɕ ɯ m j ʌ
물로	m u l l o
물로니다	m u l l o n i d a
물론	m u l l o n
물리고	m u l l i g o
물리치고	m u l l i t͡ɕʰ i g o
물부를	m u l p u ɾ ɯ l
물살도	m u l s a l t o
물새카는	m u l s ɛ kʰ a n ɯ n
뭉무키	m u ŋ m u kʰ i
뭉처진	m u ŋ t͡ɕʰ ʌ d͡ʑ i n
뭐	m w ʌ
뭐라고	m w ʌ ɾ a g o
뭐야	m w ʌ j a
뭐하는건가요	m w ʌ h a n ɯ n k ʌ n k a j o
뭔	m w ʌ n
뭘	m w ʌ l
미꾸라지	m i k͈ u ɾ a d͡ʑ i
미끄러저	m i k͈ ɯ ɾ ʌ d͡ʑ ʌ
미더	m i d ʌ
미덛따	m i d ʌ t̚ t͈ a
미러	m i ɾ ʌ
미련한	m i ɾ j ʌ n h a n
미리	m i ɾ i
미리부터	m i ɾ i b u tʰ ʌ
미소를	m i s o ɾ ɯ l
미수습짜를	m i s u s ɯ p̚ t͡ɕ͈ a ɾ ɯ l
미신	m i s i n
미쓰고시를	m i s͈ ɯ g o s i ɾ ɯ l
미안하네	m i a n h a n e
미안한	m i a n h a n
미워서	m i w ʌ s ʌ
미워하고	m i w ʌ h a g o
미워하며	m i w ʌ h a m j ʌ
미웓떤	m i w ʌ t̚ t͈ ʌ n
미처	m i t͡ɕʰ ʌ
미치지	m i t͡ɕʰ i d͡ʑ i
미테	m i tʰ e
미테서	m i tʰ e s ʌ
미트로	m i tʰ ɯ ɾ o
민수는	m i n s u n ɯ n
민수를	m i n s u ɾ ɯ l
민수의	m i n s u ɰ i
민주공화구기다	m i n t͡ɕ u g o ŋ h w a g u k i d a
민주국까인	m i n t͡ɕ u g u k̚ k͈ a i n
밀려가는	m i l l j ʌ g a n ɯ n
밀려드러	m i l l j ʌ d ɯ ɾ ʌ
밀려서	m i l l j ʌ s ʌ
밀처	m i l t͡ɕʰ ʌ
밀회하러	m i l h w e h a ɾ ʌ
바께	p a k͈ e
바께서	p a k͈ e s ʌ
바끄로	p a k͈ ɯ ɾ o
바끄로부터	p a k͈ ɯ ɾ o b u tʰ ʌ
바끌	p a k͈ ɯ l
바느지를	p a n ɯ d͡ʑ i ɾ ɯ l
바느질	p a n ɯ d͡ʑ i l
바는	p a n ɯ n
바니나	p a n i n a
바다	p a d a
바다가	p a d a g a
바다라	p a d a ɾ a
바닫까	p a d a t̚ k͈ a
바닫까로	p a d a t̚ k͈ a ɾ o
바드며	p a d ɯ m j ʌ
바든	p a d ɯ n
바라	p a ɾ a
바라는	p a ɾ a n ɯ n
바라다보엳따	p a ɾ a d a b o j ʌ t̚ t͈ a
바라다본다	p a ɾ a d a b o n t a
바라던	p a ɾ a d ʌ n
바라메	p a ɾ a m e
바라믄	p a ɾ a m ɯ n
바라미	p a ɾ a m i
바라보고	p a ɾ a b o g o
바라보다	p a ɾ a b o d a
바라보다가	p a ɾ a b o d a g a
바라보던	p a ɾ a b o d ʌ n
바라보며	p a ɾ a b o m j ʌ
바라보면서	p a ɾ a b o m j ʌ n s ʌ
바라보앋따	p a ɾ a b o a t̚ t͈ a
바라보지	p a ɾ a b o d͡ʑ i
바라본다	p a ɾ a b o n t a
바람	p a ɾ a m
바람까지	p a ɾ a m k͈ a d͡ʑ i
바람니다	p a ɾ a m n i d a
바로	p a ɾ o
바루	p a ɾ u
바르게	p a ɾ ɯ g e
바른	p a ɾ ɯ n
바른소니	p a ɾ ɯ n s o n i
바릐로	p a ɾ i l o
바리라도	p a ɾ i l a d o
바메도	p a m e d o
바믄	p a m ɯ n
바믈	p a m ɯ l
바보야	p a b o j a
바브로	p a b ɯ ɾ o
바블	p a b ɯ l
바쁘게	p a p͈ ɯ g e
바쁜	p a p͈ ɯ n
바에	p a e
바이러스는	p a i ɾ ʌ s ɯ n ɯ n
바작빠작	p a d͡ʑ a k̚ p͈ a d͡ʑ a k̚
바짝	p a t͡ɕ͈ a k̚
바처	p a t͡ɕʰ ʌ
바첟꾸나	p a t͡ɕʰ ʌ t̚ k͈ u n a
바치리라	p a t͡ɕʰ i ɾ i l a
바치면	p a t͡ɕʰ i m j ʌ n
바퀴	p a kʰ w i
박씀니다	p a k̚ s͈ ɯ m n i d a
박차	p a k̚ t͡ɕʰ a
박첨지는	p a k̚ t͡ɕʰ ʌ m t͡ɕ i n ɯ n
반	p a n
반가우랴	p a n k a u ɾ j a
반가운	p a n k a u n
반가움과	p a n k a u m k w a
반가이	p a n k a i
반갑씀니다	p a n k a p̚ s͈ ɯ m n i d a
반는다	p a n n ɯ n t a
반다리	p a n t a ɾ i
반대로	p a n t ɛ ɾ o
반대하는	p a n t ɛ h a n ɯ n
반드시	p a n t ɯ s i
반며네	p a n m j ʌ n e
반바캗따	p a n p a kʰ ɛ t̚ t͈ a
반비례되는	p a n p i ɾ j e d w e n ɯ n
반주기	p a n t͡ɕ u g i
반짜기는	p a n t͡ɕ͈ a g i n ɯ n
반쯤	p a n t͡ɕ͈ ɯ m
받께	p a t̚ k͈ e
받뛰로	p a t̚ t͈ w i ɾ o
받찌	p a t̚ t͡ɕ͈ i
받트를	p a t̚ tʰ ɯ ɾ ɯ l
발	p a l
발가케	p a l k a kʰ e
발견하듣	p a l k j ʌ n h a d ɯ t̚
발견하엳따	p a l k j ʌ n h a j ʌ t̚ t͈ a
발견하지	p a l k j ʌ n h a d͡ʑ i
발견할	p a l k j ʌ n h a l
발광핻딴	p a l k w a ŋ h ɛ t̚ t͈ a n
발근	p a l k ɯ n
발기를	p a l k i ɾ ɯ l
발길로	p a l k i l l o
발끄스로	p a l k͈ ɯ s ɯ ɾ o
발끄슬	p a l k͈ ɯ s ɯ l
발딱	p a l t͈ a k̚
발령인데	p a l l j ʌ ŋ i n t e
발로	p a l l o
발명의	p a l m j ʌ ŋ ɰ i
발병난다	p a l p j ʌ ŋ n a n t a
발새를	p a l s ɛ ɾ ɯ l
발치에서	p a l t͡ɕʰ i e s ʌ
발키는	p a l kʰ i n ɯ n
발파늘	p a l pʰ a n ɯ l
발휘하엳씀니다	p a l h w i h a j ʌ t̚ s͈ ɯ m n i d a
밤	p a m
밤기를	p a m k i ɾ ɯ l
밤늗께	p a m n ɯ t̚ k͈ e
밤마다	p a m m a d a
밤부터는	p a m p u tʰ ʌ n ɯ n
밤비가	p a m p i g a
밤새도록	p a m s ɛ d o ɾ o k̚
밤송이	p a m s o ŋ i
밤잠	p a m t͡ɕ a m
밥	p a p̚
방	p a ŋ
방까지	p a ŋ k͈ a d͡ʑ i
방드른	p a ŋ t ɯ ɾ ɯ n
방망이	p a ŋ m a ŋ i
방망이요	p a ŋ m a ŋ i j o
방무늘	p a ŋ m u n ɯ l
방무니	p a ŋ m u n i
방바다글	p a ŋ p a d a g ɯ l
방버베	p a ŋ p ʌ b e
방버븐	p a ŋ p ʌ b ɯ n
방버블	p a ŋ p ʌ b ɯ l
방버비	p a ŋ p ʌ b i
방버빔니다	p a ŋ p ʌ b i m n i d a
방서글	p a ŋ s ʌ g ɯ l
방싣	p a ŋ s i t̚
방에	p a ŋ e
방에서는	p a ŋ e s ʌ n ɯ n
방으로	p a ŋ ɯ ɾ o
방은	p a ŋ ɯ n
방향을	p a ŋ h j a ŋ ɯ l
배가	p ɛ g a
배겨	p ɛ g j ʌ
배고픈데	p ɛ g o pʰ ɯ n t e
배를	p ɛ ɾ ɯ l
배메게	p ɛ m e g e
배부르리라	p ɛ b u ɾ ɯ l i ɾ a
배송	p ɛ s o ŋ
배쏘그루	p ɛ s͈ o g ɯ ɾ u
배야	p ɛ j a
배어	p ɛ ʌ
배울	p ɛ u l
배워	p ɛ w ʌ
배인	p ɛ i n
배카	p ɛ kʰ a
백	p ɛ k̚
백까지	p ɛ k̚ k͈ a d͡ʑ i
백뚜사니	p ɛ k̚ t͈ u s a n i
백뚜산	p ɛ k̚ t͈ u s a n
백썽수	p ɛ k̚ s͈ ʌ ŋ s u
백씨는	p ɛ k̚ s͈ i n ɯ n
백씨의	p ɛ k̚ s͈ i ɰ i
백통테	p ɛ k̚ tʰ o ŋ tʰ e
백프로	p ɛ k̚ pʰ ɯ ɾ o
밷씀니다	p ɛ t̚ s͈ ɯ m n i d a
뱁쌔가	p ɛ p̚ s͈ ɛ g a
뱅	p ɛ ŋ
버네	p ʌ n e
버들껑	p ʌ d ɯ l k͈ ʌ ŋ
버려두면	p ʌ ɾ j ʌ d u m j ʌ n
버려쓰믈	p ʌ ɾ j ʌ s͈ ɯ m ɯ l
버려주면	p ʌ ɾ j ʌ d͡ʑ u m j ʌ n
버렫따	p ʌ ɾ j ʌ t̚ t͈ a
버르시	p ʌ ɾ ɯ s i
버르시다	p ʌ ɾ ɯ s i d a
버르신지	p ʌ ɾ ɯ s i n t͡ɕ i
버륻	p ʌ ɾ ɯ t̚
버를	p ʌ ɾ ɯ l
버리고	p ʌ ɾ i g o
버리는	p ʌ ɾ i n ɯ n
버리리라	p ʌ ɾ i l i ɾ a
버린	p ʌ ɾ i n
버린다	p ʌ ɾ i n t a
버릴	p ʌ ɾ i l
버릴까	p ʌ ɾ i l k͈ a
버릴지어다	p ʌ ɾ i l t͡ɕ i ʌ d a
버붜네	p ʌ b w ʌ n e
버붜는	p ʌ b w ʌ n ɯ n
버붜늬	p ʌ b w ʌ n i
버비다	p ʌ b i d a
버서나려고	p ʌ s ʌ n a ɾ j ʌ g o
버서늘	p ʌ s ʌ n ɯ l
버서쓰믈	p ʌ s ʌ s͈ ɯ m ɯ l
버이	p ʌ i
버저시	p ʌ d͡ʑ ʌ s i
버쩍	p ʌ t͡ɕ͈ ʌ k̚
버쩡	p ʌ t͡ɕ͈ ʌ ŋ
버튼드를	p ʌ tʰ ɯ n t ɯ ɾ ɯ l
버티기	p ʌ tʰ i g i
벅찬	p ʌ k̚ t͡ɕʰ a n
번	p ʌ n
번가라	p ʌ n k a ɾ a
번갣뿌리	p ʌ n k ɛ t̚ p͈ u ɾ i
번득꺼리얻따	p ʌ n t ɯ k̚ k͈ ʌ ɾ i ʌ t̚ t͈ a
번버니	p ʌ n p ʌ n i
번자판	p ʌ n t͡ɕ a pʰ a n
번째	p ʌ n t͡ɕ͈ ɛ
번쩌	p ʌ n t͡ɕ͈ ʌ
번쩍	p ʌ n t͡ɕ͈ ʌ k̚
번쩍뻔쩌	p ʌ n t͡ɕ͈ ʌ k̚ p͈ ʌ n t͡ɕ͈ ʌ
번쩍뻔쩌카는	p ʌ n t͡ɕ͈ ʌ k̚ p͈ ʌ n t͡ɕ͈ ʌ kʰ a n ɯ n
번차례로	p ʌ n t͡ɕʰ a ɾ j e l o
번하고	p ʌ n h a g o
번호는	p ʌ n h o n ɯ n
번호임니다	p ʌ n h o i m n i d a
벋꼬	p ʌ t̚ k͈ o
벋찌	p ʌ t̚ t͡ɕ͈ i
벌	p ʌ l
벌그믈	p ʌ l k ɯ m ɯ l
벌떡	p ʌ l t͈ ʌ k̚
벌떼처럼	p ʌ l t͈ e t͡ɕʰ ʌ ɾ ʌ m
벌렁	p ʌ l l ʌ ŋ
벌써	p ʌ l s͈ ʌ
벌써부터	p ʌ l s͈ ʌ b u tʰ ʌ
벌컥	p ʌ l kʰ ʌ k̚
범뉴레	p ʌ m n j u ɾ e
범뉴릐	p ʌ m n j u ɾ i
범뉴리	p ʌ m n j u ɾ i
범뉼로	p ʌ m n j u l l o
범버그로	p ʌ m p ʌ g ɯ ɾ o
범한	p ʌ m h a n
법꽈느로	p ʌ p̚ k͈ w a n ɯ ɾ o
법꽈늘	p ʌ p̚ k͈ w a n ɯ l
벙어리와	p ʌ ŋ ʌ ɾ i w a
베개를	p e g ɛ ɾ ɯ l
베고	p e g o
베풀고	p e pʰ u l k o
벼	p j ʌ
벼게	p j ʌ g e
벼글	p j ʌ g ɯ l
벼기	p j ʌ g i
벼락까치	p j ʌ ɾ a k̚ k͈ a t͡ɕʰ i
벼를	p j ʌ ɾ ɯ l
벼리	p j ʌ ɾ i
벼치	p j ʌ t͡ɕʰ i
벽똘	p j ʌ k̚ t͈ o l
변변치는	p j ʌ n p j ʌ n t͡ɕʰ i n ɯ n
변처늘	p j ʌ n t͡ɕʰ ʌ n ɯ l
변하여진다	p j ʌ n h a j ʌ d͡ʑ i n t a
변한다	p j ʌ n h a n t a
변해	p j ʌ n h ɛ
별도	p j ʌ l t o
별드리	p j ʌ l t ɯ ɾ i
별러	p j ʌ l l ʌ
별로	p j ʌ l l o
별지슬	p j ʌ l t͡ɕ i s ɯ l
병남니다	p j ʌ ŋ n a m n i d a
병시긔	p j ʌ ŋ s i g i
병시기는	p j ʌ ŋ s i g i n ɯ n
병실로	p j ʌ ŋ s i l l o
병워네만	p j ʌ ŋ w ʌ n e m a n
병워느로	p j ʌ ŋ w ʌ n ɯ ɾ o
병원비	p j ʌ ŋ w ʌ n p i
병이늬	p j ʌ ŋ i n i
병이란	p j ʌ ŋ i ɾ a n
병인지는	p j ʌ ŋ i n t͡ɕ i n ɯ n
병자가	p j ʌ ŋ t͡ɕ a g a
병자에	p j ʌ ŋ t͡ɕ a e
병자의	p j ʌ ŋ t͡ɕ a ɰ i
보거네	p o g ʌ n e
보겓따	p o g e t̚ t͈ a
보고	p o g o
보고야	p o g o j a
보곤	p o g o n
보기	p o g i
보기도	p o g i d o
보기에	p o g i e
보내면	p o n ɛ m j ʌ n
보내어	p o n ɛ ʌ
보내지	p o n ɛ d͡ʑ i
보느냐	p o n ɯ n j a
보는	p o n ɯ n
보니	p o n i
보니까	p o n i k͈ a
보니네	p o n i n e
보다	p o d a
보다가	p o d a g a
보든지	p o d ɯ n t͡ɕ i
보라	p o ɾ a
보라고	p o ɾ a g o
보레	p o ɾ e
보려고	p o ɾ j ʌ g o
보려는	p o ɾ j ʌ n ɯ n
보려다가	p o ɾ j ʌ d a g a
보를	p o ɾ ɯ l
보리라	p o ɾ i l a
보릳꼬개를	p o ɾ i t̚ k͈ o g ɛ ɾ ɯ l
보며	p o m j ʌ
보면	p o m j ʌ n
보면서	p o m j ʌ n s ʌ
보믄	p o m ɯ n
보배로	p o b ɛ ɾ o
보시고	p o s i g o
보시기에	p o s i g i e
보신	p o s i n
보앋따	p o a t̚ t͈ a
보암직또	p o a m t͡ɕ i k̚ t͈ o
보여	p o j ʌ
보엳따	p o j ʌ t̚ t͈ a
보이고	p o i g o
보이기는	p o i g i n ɯ n
보이는	p o i n ɯ n
보이더니	p o i d ʌ n i
보이던	p o i d ʌ n
보이려고	p o i ɾ j ʌ g o
보이며	p o i m j ʌ
보이지	p o i d͡ʑ i
보이지를	p o i d͡ʑ i ɾ ɯ l
보인	p o i n
보인다	p o i n t a
보인단	p o i n t a n
보자기를	p o d͡ʑ a g i ɾ ɯ l
보장되나요	p o d͡ʑ a ŋ t w e n a j o
보장될	p o d͡ʑ a ŋ t w e l
보전하세	p o d͡ʑ ʌ n h a s e
보존하며	p o d͡ʑ o n h a m j ʌ
보지	p o d͡ʑ i
보충수업	p o t͡ɕʰ u ŋ s u ʌ p̚
보통	p o tʰ o ŋ
보호	p o h o
보호를	p o h o ɾ ɯ l
보호자는	p o h o d͡ʑ a n ɯ n
복또	p o k̚ t͈ o
복짱	p o k̚ t͡ɕ͈ a ŋ
복파느로	p o k̚ pʰ a n ɯ ɾ o
복파늘	p o k̚ pʰ a n ɯ l
본	p o n
본다	p o n t a
본즉	p o n t͡ɕ ɯ k̚
볼	p o l
볼래부터	p o l l ɛ b u tʰ ʌ
봄니다	p o m n i d a
봉그시	p o ŋ k ɯ s i
봉는	p o ŋ n ɯ n
봐	p w a
봐라	p w a ɾ a
봐쓰면	p w a s͈ ɯ m j ʌ n
봐야게써	p w a j a g e s͈ ʌ
봔는데	p w a n n ɯ n t e
뵈	p w e
부끄러미	p u k͈ ɯ ɾ ʌ m i
부끄러운	p u k͈ ɯ ɾ ʌ u n
부끄러울	p u k͈ ɯ ɾ ʌ u l
부끄러움과	p u k͈ ɯ ɾ ʌ u m k w a
부끄럽끼는	p u k͈ ɯ ɾ ʌ p̚ k͈ i n ɯ n
부끄럽찌만	p u k͈ ɯ ɾ ʌ p̚ t͡ɕ͈ i m a n
부뉘기	p u n w i g i
부는	p u n ɯ n
부늬	p u n i
부두	p u d u
부두노동에	p u d u n o d o ŋ e
부두에	p u d u e
부드럽따	p u d ɯ ɾ ʌ p̚ t͈ a
부디부디	p u d i b u d i
부디쳗따면	p u d i t͡ɕʰ ʌ t̚ t͈ a m j ʌ n
부딛치고	p u d i t̚ t͡ɕʰ i g o
부딛치므로	p u d i t̚ t͡ɕʰ i m ɯ ɾ o
부딛칠	p u d i t̚ t͡ɕʰ i l
부라늘	p u ɾ a n ɯ l
부라니	p u ɾ a n i
부러	p u ɾ ʌ
부러워서	p u ɾ ʌ w ʌ s ʌ
부러진	p u ɾ ʌ d͡ʑ i n
부럽께	p u ɾ ʌ p̚ k͈ e
부려만	p u ɾ j ʌ m a n
부르고	p u ɾ ɯ g o
부르는	p u ɾ ɯ n ɯ n
부르드	p u ɾ ɯ d ɯ
부르믈	p u ɾ ɯ m ɯ l
부르셛짜나요	p u ɾ ɯ s j ʌ t̚ t͡ɕ͈ a n a j o
부르지	p u ɾ ɯ d͡ʑ i
부르지즈며	p u ɾ ɯ d͡ʑ i t͡ɕ ɯ m j ʌ
부르지즌	p u ɾ ɯ d͡ʑ i t͡ɕ ɯ n
부르짇뜨시	p u ɾ ɯ d͡ʑ i t̚ t͈ ɯ s i
부를	p u ɾ ɯ l
부릅뜨고	p u ɾ ɯ p̚ t͈ ɯ g o
부리	p u ɾ i
부리는	p u ɾ i n ɯ n
부모도	p u m o d o
부비	p u b i
부스스	p u s ɯ s ɯ
부실한	p u s i l h a n
부어	p u ʌ
부어케서	p u ʌ kʰ e s ʌ
부어크로	p u ʌ kʰ ɯ ɾ o
부어큰	p u ʌ kʰ ɯ n
부인	p u i n
부인드른	p u i n t ɯ ɾ ɯ n
부인드리라고	p u i n t ɯ ɾ i l a g o
부자	p u d͡ʑ a
부자가	p u d͡ʑ a g a
부자는	p u d͡ʑ a n ɯ n
부조키	p u d͡ʑ o kʰ i
부족뙤어	p u d͡ʑ o k̚ t͈ w e ʌ
부지런한	p u d͡ʑ i ɾ ʌ n h a n
부쩍	p u t͡ɕ͈ ʌ k̚
부쩡	p u t͡ɕ͈ ʌ ŋ
부쳐	p u t͡ɕʰ ʌ
부쳐서	p u t͡ɕʰ ʌ s ʌ
부쳗따	p u t͡ɕʰ ʌ t̚ t͈ a
부친	p u t͡ɕʰ i n
부터	p u tʰ ʌ
부트로더	p u tʰ ɯ ɾ o d ʌ
부트며	p u tʰ ɯ m j ʌ
부틀	p u tʰ ɯ l
부하고자	p u h a g o d͡ʑ a
분	p u n
분간할	p u n k a n h a l
분노와	p u n n o w a
분명치는	p u n m j ʌ ŋ t͡ɕʰ i n ɯ n
분명히	p u n m j ʌ ŋ h i
분하엳따	p u n h a j ʌ t̚ t͈ a
분홍빋	p u n h o ŋ p i t̚
붇뜰고	p u t̚ t͈ ɯ l k o
붇뜰려만	p u t̚ t͈ ɯ l l j ʌ m a n
붇짜브려고	p u t̚ t͡ɕ͈ a b ɯ ɾ j ʌ g o
붇짭꼬	p u t̚ t͡ɕ͈ a p̚ k͈ o
붇짭꼬는	p u t̚ t͡ɕ͈ a p̚ k͈ o n ɯ n
붇찌를	p u t̚ t͡ɕ͈ i ɾ ɯ l
불	p u l
불가능한데요	p u l k a n ɯ ŋ h a n t e j o
불가치	p u l k a t͡ɕʰ i
불그레한	p u l k ɯ ɾ e h a n
불그레해젇따	p u l k ɯ ɾ e h ɛ d͡ʑ ʌ t̚ t͈ a
불근	p u l k ɯ n
불꼳꽈	p u l k͈ o t̚ k͈ w a
불덩이가	p u l t ʌ ŋ i g a
불럳따	p u l l ʌ t̚ t͈ a
불리된다	p u l l i d w e n t a
불마늬	p u l m a n i
불쌍한	p u l s͈ a ŋ h a n
불쌍해라	p u l s͈ a ŋ h ɛ ɾ a
