аа	aː
дагтаршсан	t a ɡ tʰ a r ʃ s a n
дагуу	t a ɡ ʊː
дагуул	t a ɡ ʊː ɮ
дагуулаад	t a ɡ ʊː ɮ aː t
дагуулагч	t a ɡ ʊː ɮ a ɡ t͡ʃʰ
дагуулан	t a ɡ ʊː ɮ a n
дагуулж	t a ɡ ʊː ɮ t͡ʃ
дагуулсан	t a ɡ ʊː ɮ s a n
дагуултай	t a ɡ ʊː ɮ tʰ a j
дагуух	t a ɡ ʊː x
дадалтай	t a t a ɮ tʰ a j
дадлага	t a t ɮ a ɡ a
дадлагын	t a t ɮ a ɡ iː n
дажгүй	t a t͡ʃ ɡ u j
дажингүй	t a t͡ʃ i n ɡ u j
дайжиж	t a j t͡ʃ i t͡ʃ
дайллагын	t a j ɮ ɮ a ɡ iː n
дайн	t a j n
дайнд	t a j n t
дайны	t a j n iː
дайныг	t a j n iː ɡ
дайраад	t a j r aː t
дайравч	t a j r a w t͡ʃʰ
дайрагдсан	t a j r a ɡ t s a n
дайралдав	t a j r a ɮ t a w
дайралдвал	t a j r a ɮ t w a ɮ
дайралт	t a j r a ɮ tʰ
дайралтыг	t a j r a ɮ tʰ iː ɡ
дайран	t a j r a n
дайрахад	t a j r a x a t
дайрлага	t a j r ɮ a ɡ a
дайрсангүй	t a j r s a n ɡ u j
дайрч	t a j r t͡ʃʰ
дайсагнасан	t a j s a ɡ n a s a n
дайсан	t a j s a n
дайсантай	t a j s a n tʰ a j
дайснууд	t a j s n ʊː t
дайснуудтай	t a j s n ʊː t tʰ a j
дайсны	t a j s n iː
дайсныг	t a j s n iː ɡ
дайсныхаа	t a j s n iː x aː
дайтах	t a j tʰ a x
дайчдын	t a j t͡ʃʰ t iː n
дайчид	t a j t͡ʃʰ i t
дайчин	t a j t͡ʃʰ i n
дайчлан	t a j t͡ʃʰ ɮ a n
далавчаар	t a ɮ a w t͡ʃʰ aː r
далай	t a ɮ a j
далайгаас	t a ɮ a j ɡ aː s
далайд	t a ɮ a j t
далайн	t a ɮ a j n
даланзадгадаас	t a ɮ a n t͡s a t ɡ a t aː s
даланзадгадын	t a ɮ a n t͡s a t ɡ a t iː n
далбийчихсан	t a ɮ p iː t͡ʃʰ i x s a n
далд	t a ɮ t
далдаас	t a ɮ t aː s
далдиран	t a ɮ t i r a n
далдлах	t a ɮ t ɮ a x
далдыг	t a ɮ t iː ɡ
далий	t a ɮ iː
далим	t a ɮ i m
даллаад	t a ɮ ɮ aː t
даллав	t a ɮ ɮ a w
даллага	t a ɮ ɮ a ɡ a
даллагыг	t a ɮ ɮ a ɡ iː ɡ
даллан	t a ɮ ɮ a n
далха	t a ɮ x a
дамаск	t a m a s kʰ
дамбий	t a m p iː
дамжаад	t a m t͡ʃ aː t
дамждаг	t a m t͡ʃ t a ɡ
дамжигтай	t a m t͡ʃ i ɡ tʰ a j
дамжиж	t a m t͡ʃ i t͡ʃ
дамжин	t a m t͡ʃ i n
дамжлах	t a m t͡ʃ ɮ a x
дамжсан	t a m t͡ʃ s a n
дамжуулагчийг	t a m t͡ʃ ʊː ɮ a ɡ t͡ʃʰ iː ɡ
дамжуулалтыг	t a m t͡ʃ ʊː ɮ a ɮ tʰ iː ɡ
дамжуулан	t a m t͡ʃ ʊː ɮ a n
дамжуулах	t a m t͡ʃ ʊː ɮ a x
дамжуулж	t a m t͡ʃ ʊː ɮ t͡ʃ
дамжуулна	t a m t͡ʃ ʊː ɮ n a
дамжуулъя	t a m t͡ʃ ʊː ɮʲ a
дамиран	t a m i r a n
дамираны	t a m i r a n iː
дамираныг	t a m i r a n iː ɡ
дамнасан	t a m n a s a n
дамнах	t a m n a x
дамнуурчны	t a m n ʊː r t͡ʃʰ n iː
дампууруулаад	t a m pʰ ʊː r ʊː ɮ aː t
дампуурч	t a m pʰ ʊː r t͡ʃʰ
дамрын	t a m r iː n
дамшиглана	t a m ʃ i ɡ ɮ a n a
дамын	t a m iː n
дан	t a n
дангаар	t a n ɡ aː r
данган	t a n ɡ a n
данги	t a n ɡ i
дандаа	t a n t aː
дандар	t a n t a r
дандарын	t a n t a r iː n
данжуур	t a n t͡ʃ ʊː r
данзан	t a n t͡s a n
данкан	t a n kʰ a n
дансаар	t a n s aː r
дансанд	t a n s a n t
данслуулсан	t a n s ɮ ʊː ɮ s a n
дансны	t a n s n iː
дансныхаа	t a n s n iː x aː
данстай	t a n s tʰ a j
дансыг	t a n s iː ɡ
данхтай	t a n x tʰ a j
дараа	t a r aː
дараагаар	t a r aː ɡ aː r
дараагаас	t a r aː ɡ aː s
дараагийн	t a r aː ɡ iː n
дараагийнх	t a r aː ɡ iː n x
дараад	t a r aː t
дараалан	t a r aː ɮ a n
дараалсан	t a r aː ɮ s a n
дараатай	t a r aː tʰ a j
дараах	t a r aː x
дараахан	t a r aː x a n
дарав	t a r a w
дарагдаад	t a r a ɡ t aː t
дарагдаж	t a r a ɡ t a t͡ʃ
дарагдан	t a r a ɡ t a n
дарагдах	t a r a ɡ t a x
дарагджээ	t a r a ɡ t t͡ʃ ɛː
дарагдсан	t a r a ɡ t s a n
дарагдуулдаг	t a r a ɡ t ʊː ɮ t a ɡ
дарагдчих	t a r a ɡ t t͡ʃʰ i x
дарагдчихаад	t a r a ɡ t t͡ʃʰ i x aː t
даралт	t a r a ɮ tʰ
дарам	t a r a m
дарамталж	t a r a m tʰ a ɮ t͡ʃ
дарамтална	t a r a m tʰ a ɮ n a
дарамтын	t a r a m tʰ iː n
даран	t a r a n
дарангуйллыг	t a r a n ɡ ʊi ɮ ɮ iː ɡ
дарах	t a r a x
дарахад	t a r a x a t
дарахгүй	t a r a x ɡ u j
дарвианаар	t a r w ia n aː r
дарвихын	t a r w i x iː n
дарга	t a r ɡ a
даргаар	t a r ɡ aː r
даргаас	t a r ɡ aː s
даргад	t a r ɡ a t
даргыг	t a r ɡ iː ɡ
даргын	t a r ɡ iː n
даргынхаа	t a r ɡ iː n x aː
дардаг	t a r t a ɡ
дарж	t a r t͡ʃ
дарлах	t a r ɮ a x
дарс	t a r s
дарсаар	t a r s aː r
дарсан	t a r s a n
дарснууд	t a r s n ʊː t
дарсыг	t a r s iː ɡ
даруй	t a r ʊi
даруйдаа	t a r ʊi t aː
даруйхан	t a r ʊi x a n
даруу	t a r ʊː
даруухан	t a r ʊː x a n
дархан	t a r x a n
дарханд	t a r x a n t
дарханы	t a r x a n iː
дархлаа	t a r x ɮ aː
дархлаажуулалтад	t a r x ɮ aː t͡ʃ ʊː ɮ a ɮ tʰ a t
дархлааны	t a r x ɮ aː n iː
дарь	t a rʲ
дасаагүй	t a s aː ɡ u j
дасал	t a s a ɮ
дасахгүй	t a s a x ɡ u j
дасахын	t a s a x iː n
дасгал	t a s ɡ a ɮ
дасгалжуулагчийн	t a s ɡ a ɮ t͡ʃ ʊː ɮ a ɡ t͡ʃʰ iː n
дасгалжуулагчийнх	t a s ɡ a ɮ t͡ʃ ʊː ɮ a ɡ t͡ʃʰ iː n x
дасгалын	t a s ɡ a ɮ iː n
дасгасан	t a s ɡ a s a n
дасна	t a s n a
дасүн	t a s u n
дах	t a x
дахиа	t a x ia
дахиад	t a x ia t
дахиж	t a x i t͡ʃ
дахин	t a x i n
дахинаа	t a x i n aː
дахинд	t a x i n t
дахь	t a xʲ
дацангийн	t a t͡sʰ a n ɡ iː n
дашбалбар	t a ʃ p a ɮ p a r
дашням	t a ʃ nʲ a m
дашцэдэн	t a ʃ t͡sʰ ɛ t ɛ n
дашчойлин	t a ʃ t͡ʃʰ ɔ j ɮ i n
даяар	t a j a r
даяарх	t a j a r x
даяарчлал	t a j a r t͡ʃʰ ɮ a ɮ
даяаршил	t a j a r ʃ i ɮ
даяаршлын	t a j a r ʃ ɮ iː n
де	tʲ i
дейтона	tʲ i j tʰ ɔ n a
дениско	tʲ i n i s kʰ ɔ
джузеппег	t t͡ʃ ʊ t͡s j i pʰ pʰʲ i ɡ
диваажингийн	t i w aː t͡ʃ i n ɡ iː n
диваажинд	t i w aː t͡ʃ i n t
дигс	t i ɡ s
дизайнерууд	t i t͡s a j nʲ i r ʊː t
дийлдэггүй	t iː ɮ t ɛ ɡ ɡ u j
дийлдэн	t iː ɮ t ɛ n
дийлж	t iː ɮ t͡ʃ
дийлснээр	t iː ɮ s n ɛː r
дийлсэнгүй	t iː ɮ s ɛ n ɡ u j
дийлэн	t iː ɮ ɛ n
дийлэнх	t iː ɮ ɛ n x
дийлэнхийг	t iː ɮ ɛ n x iː ɡ
дийлэхгүй	t iː ɮ ɛ x ɡ u j
дийлээд	t iː ɮ ɛː t
динамик	t i n a m i kʰ
дипломын	t i pʰ ɮ ɔ m iː n
дияан	t i j a a n
до	t ɔ
дов	t ɔ w
довжоон	t ɔ w t͡ʃ ɔː n
довны	t ɔ w n iː
довтлон	t ɔ w tʰ ɮ ɔ n
довтлох	t ɔ w tʰ ɮ ɔ x
довтолгоо	t ɔ w tʰ ɔ ɮ ɡ ɔː
довтолгоогоо	t ɔ w tʰ ɔ ɮ ɡ ɔː ɡ ɔː
довтолж	t ɔ w tʰ ɔ ɮ t͡ʃ
довцгийн	t ɔ w t͡sʰ ɡ iː n
дог	t ɔ ɡ
догдолж	t ɔ ɡ t ɔ ɮ t͡ʃ
догдолмоор	t ɔ ɡ t ɔ ɮ m ɔː r
догдолсондоо	t ɔ ɡ t ɔ ɮ s ɔ n t ɔː
догдолсоор	t ɔ ɡ t ɔ ɮ s ɔː r
доголохоо	t ɔ ɡ ɔ ɮ ɔ x ɔː
догшин	t ɔ ɡ ʃ i n
догширно	t ɔ ɡ ʃ i r n ɔ
додижажаа	t ɔ t i t͡ʃ a t͡ʃ aː
доктор	t ɔ kʰ tʰ ɔ r
докторт	t ɔ kʰ tʰ ɔ r tʰ
докторууд	t ɔ kʰ tʰ ɔ r ʊː t
долгион	t ɔ ɮ ɡ iɔ n
долгионы	t ɔ ɮ ɡ iɔ n iː
долгор	t ɔ ɮ ɡ ɔ r
долгорт	t ɔ ɮ ɡ ɔ r tʰ
долдугаарт	t ɔ ɮ t ʊ ɡ aː r tʰ
должин	t ɔ ɮ t͡ʃ i n
должинг	t ɔ ɮ t͡ʃ i n ɡ
должингоос	t ɔ ɮ t͡ʃ i n ɡ ɔː s
должинтой	t ɔ ɮ t͡ʃ i n tʰ ɔ j
доллар	t ɔ ɮ ɮ a r
долларын	t ɔ ɮ ɮ a r iː n
долоо	t ɔ ɮ ɔː
долоогийн	t ɔ ɮ ɔː ɡ iː n
долоогоор	t ɔ ɮ ɔː ɡ ɔː r
долоогоосоо	t ɔ ɮ ɔː ɡ ɔː s ɔː
долоодугаар	t ɔ ɮ ɔː t ʊ ɡ aː r
долоон	t ɔ ɮ ɔː n
долоохон	t ɔ ɮ ɔː x ɔ n
домгийг	t ɔ m ɡ iː ɡ
домгууд	t ɔ m ɡ ʊː t
домог	t ɔ m ɔ ɡ
домогт	t ɔ m ɔ ɡ tʰ
дондог	t ɔ n t ɔ ɡ
дондогт	t ɔ n t ɔ ɡ tʰ
донжтойхон	t ɔ n t͡ʃ tʰ ɔ j x ɔ n
донор	t ɔ n ɔ r
донсолгоонд	t ɔ n s ɔ ɮ ɡ ɔː n t
донтон	t ɔ n tʰ ɔ n
донтсон	t ɔ n tʰ s ɔ n
донтсоноос	t ɔ n tʰ s ɔ n ɔː s
дончид	t ɔ n t͡ʃʰ i t
доо	t ɔː
дооглон	t ɔː ɡ ɮ ɔ n
доогуур	t ɔː ɡ ʊː r
доод	t ɔː t
доодох	t ɔː t ɔ x
дооне	t ɔː nʲ i
доор	t ɔː r
дооров	t ɔː r ɔ w
доороо	t ɔː r ɔː
доорх	t ɔː r x
доохон	t ɔː x ɔ n
доош	t ɔː ʃ
доошоо	t ɔː ʃ ɔː
дор	t ɔ r
дорвитой	t ɔ r w i tʰ ɔ j
доргин	t ɔ r ɡ i n
доргитол	t ɔ r ɡ i tʰ ɔ ɮ
дорд	t ɔ r t
дордойвч	t ɔ r t ɔ j w t͡ʃʰ
дордойдоггүй	t ɔ r t ɔ j t ɔ ɡ ɡ u j
дордсоноос	t ɔ r t s ɔ n ɔː s
дорж	t ɔ r t͡ʃ
доржгочоо	t ɔ r t͡ʃ ɡ ɔ t͡ʃʰ ɔː
доржзодовын	t ɔ r t͡ʃ t͡s ɔ t ɔ w iː n
доржоо	t ɔ r t͡ʃ ɔː
дориухан	t ɔ r iʊ x a n
дорноговь	t ɔ r n ɔ ɡ ɔ wʲ
дорнод	t ɔ r n ɔ t
дорнын	t ɔ r n iː n
дорой	t ɔ r ɔ j
доройн	t ɔ r ɔ j n
доройтож	t ɔ r ɔ j tʰ ɔ t͡ʃ
доромжилно	t ɔ r ɔ m t͡ʃ i ɮ n ɔ
доромжлогдсон	t ɔ r ɔ m t͡ʃ ɮ ɔ ɡ t s ɔ n
дороо	t ɔ r ɔː
дороос	t ɔ r ɔː s
дотно	t ɔ tʰ n ɔ
дотнолсон	t ɔ tʰ n ɔ ɮ s ɔ n
дотносож	t ɔ tʰ n ɔ s ɔ t͡ʃ
дотносохоосоо	t ɔ tʰ n ɔ s ɔ x ɔː s ɔː
дотночлохыг	t ɔ tʰ n ɔ t͡ʃʰ ɮ ɔ x iː ɡ
дотнын	t ɔ tʰ n iː n
дотнынхонтойгоо	t ɔ tʰ n iː n x ɔ n tʰ ɔ j ɡ ɔː
дотогш	t ɔ tʰ ɔ ɡ ʃ
дотоод	t ɔ tʰ ɔː t
дотоодын	t ɔ tʰ ɔː t iː n
дотор	t ɔ tʰ ɔ r
доторх	t ɔ tʰ ɔ r x
доторхоос	t ɔ tʰ ɔ r x ɔː s
дотроо	t ɔ tʰ r ɔː
дотроос	t ɔ tʰ r ɔː s
дотроосоо	t ɔ tʰ r ɔː s ɔː
дотуур	t ɔ tʰ ʊː r
доунс	t ɔʊ n s
дохив	t ɔ x i w
дохиж	t ɔ x i t͡ʃ
дохилоо	t ɔ x i ɮ ɔː
дохин	t ɔ x i n
дохио	t ɔ x iɔ
дохиогоор	t ɔ x iɔ ɡ ɔː r
дохиод	t ɔ x iɔ t
дохиолов	t ɔ x iɔ ɮ ɔ w
дохионы	t ɔ x iɔ n iː
дохиход	t ɔ x i x ɔ t
дрон	t r ɔ n
дув	t ʊ w
дугаар	t ʊ ɡ aː r
дугаараа	t ʊ ɡ aː r aː
дугаараар	t ʊ ɡ aː r aː r
дугаарт	t ʊ ɡ aː r tʰ
дугаартай	t ʊ ɡ aː r tʰ a j
дуганч	t ʊ ɡ a n t͡ʃʰ
дугаржав	t ʊ ɡ a r t͡ʃ a w
дугтран	t ʊ ɡ tʰ r a n
дугтруулсаар	t ʊ ɡ tʰ r ʊː ɮ s aː r
дугтуй	t ʊ ɡ tʰ ʊi
дугтуйг	t ʊ ɡ tʰ ʊi ɡ
дугуй	t ʊ ɡ ʊi
дугуйгаар	t ʊ ɡ ʊi ɡ aː r
дугуйлангийн	t ʊ ɡ ʊi ɮ a n ɡ iː n
дугуйлангийнхнаас	t ʊ ɡ ʊi ɮ a n ɡ iː n x n aː s
дугуйланд	t ʊ ɡ ʊi ɮ a n t
дугуйрснаараа	t ʊ ɡ ʊi r s n aː r aː
дугуйт	t ʊ ɡ ʊi tʰ
дужигнатал	t ʊ t͡ʃ i ɡ n a tʰ a ɮ
дулаалгын	t ʊ ɮ aː ɮ ɡ iː n
дулаан	t ʊ ɮ aː n
дулаанд	t ʊ ɮ aː n t
дулааны	t ʊ ɮ aː n iː
дулааныг	t ʊ ɮ aː n iː ɡ
дулаахан	t ʊ ɮ aː x a n
дулмаа	t ʊ ɮ m aː
дун	t ʊ n
дунгийн	t ʊ n ɡ iː n
дунд	t ʊ n t
дундаа	t ʊ n t aː
дундаас	t ʊ n t aː s
дундад	t ʊ n t a t
дундаж	t ʊ n t a t͡ʃ
дундах	t ʊ n t a x
дундуур	t ʊ n t ʊː r
дундуураа	t ʊ n t ʊː r aː
дундын	t ʊ n t iː n
дуниартах	t ʊ n ia r tʰ a x
дуниарч	t ʊ n ia r t͡ʃʰ
дур	t ʊ r
дураар	t ʊ r aː r
дураараа	t ʊ r aː r aː
дурайна	t ʊ r a j n a
дурамжхан	t ʊ r a m t͡ʃ x a n
дуран	t ʊ r a n
дурангаар	t ʊ r a n ɡ aː r
дурангийн	t ʊ r a n ɡ iː n
дурандсаар	t ʊ r a n t s aː r
дургүй	t ʊ r ɡ u j
дургүйг	t ʊ r ɡ u j ɡ
дурдаад	t ʊ r t aː t
дурдаж	t ʊ r t a t͡ʃ
дурдан	t ʊ r t a n
дурдах	t ʊ r t a x
дурдвал	t ʊ r t w a ɮ
дурджээ	t ʊ r t t͡ʃ ɛː
дурдлаа	t ʊ r t ɮ aː
дурдсан	t ʊ r t s a n
дурдсанчлан	t ʊ r t s a n t͡ʃʰ ɮ a n
дурдсу	t ʊ r t s ʊ
дурлагчид	t ʊ r ɮ a ɡ t͡ʃʰ i t
дурладаг	t ʊ r ɮ a t a ɡ
дурлаж	t ʊ r ɮ a t͡ʃ
дурлал	t ʊ r ɮ a ɮ
дурлалаар	t ʊ r ɮ a ɮ aː r
дурлалыг	t ʊ r ɮ a ɮ iː ɡ
дурлалын	t ʊ r ɮ a ɮ iː n
дурлан	t ʊ r ɮ a n
дурласан	t ʊ r ɮ a s a n
дурсаарай	t ʊ r s aː r a j
дурсамж	t ʊ r s a m t͡ʃ
дурсамжаа	t ʊ r s a m t͡ʃ aː
дурсамжаасаа	t ʊ r s a m t͡ʃ aː s aː
дурсамжид	t ʊ r s a m t͡ʃ i t
дурсан	t ʊ r s a n
дурсах	t ʊ r s a x
дурсахгүй	t ʊ r s a x ɡ u j
дурсгал	t ʊ r s ɡ a ɮ
дурсгалын	t ʊ r s ɡ a ɮ iː n
дурслаа	t ʊ r s ɮ aː
дурссан	t ʊ r s s a n
дурссангүй	t ʊ r s s a n ɡ u j
дуртай	t ʊ r tʰ a j
дуртайн	t ʊ r tʰ a j n
дуртгал	t ʊ r tʰ ɡ a ɮ
дурын	t ʊ r iː n
дурынхан	t ʊ r iː n x a n
дусаал	t ʊ s aː ɮ
дусал	t ʊ s a ɮ
дуслаас	t ʊ s ɮ aː s
дуслуулан	t ʊ s ɮ ʊː ɮ a n
дутааж	t ʊ tʰ aː t͡ʃ
дутаахгүй	t ʊ tʰ aː x ɡ u j
дутагдаж	t ʊ tʰ a ɡ t a t͡ʃ
дутагдал	t ʊ tʰ a ɡ t a ɮ
дутагдах	t ʊ tʰ a ɡ t a x
дутагдлаас	t ʊ tʰ a ɡ t ɮ aː s
дутагдлыг	t ʊ tʰ a ɡ t ɮ iː ɡ
дутаж	t ʊ tʰ a t͡ʃ
дутахгүй	t ʊ tʰ a x ɡ u j
дутдаг	t ʊ tʰ t a ɡ
дутмаг	t ʊ tʰ m a ɡ
дутуу	t ʊ tʰ ʊː
дутуугийн	t ʊ tʰ ʊː ɡ iː n
дутуугүй	t ʊ tʰ ʊː ɡ u j
дуу	t ʊː
дууг	t ʊː ɡ
дуугаа	t ʊː ɡ aː
дуугаар	t ʊː ɡ aː r
дуугарав	t ʊː ɡ a r a w
дуугаралт	t ʊː ɡ a r a ɮ tʰ
дуугарах	t ʊː ɡ a r a x
дуугарахад	t ʊː ɡ a r a x a t
дуугарахгүй	t ʊː ɡ a r a x ɡ u j
дуугарахлаар	t ʊː ɡ a r a x ɮ aː r
дуугарахтайгаа	t ʊː ɡ a r a x tʰ a j ɡ aː
дуугарахыг	t ʊː ɡ a r a x iː ɡ
дуугаргаад	t ʊː ɡ a r ɡ aː t
дуугарган	t ʊː ɡ a r ɡ a n
дуугардаггүй	t ʊː ɡ a r t a ɡ ɡ u j
дуугарлаа	t ʊː ɡ a r ɮ aː
дуугарна	t ʊː ɡ a r n a
дуугарсаар	t ʊː ɡ a r s aː r
дуугарсан	t ʊː ɡ a r s a n
дуугарсангүй	t ʊː ɡ a r s a n ɡ u j
дуугүй	t ʊː ɡ u j
дуугүйхэн	t ʊː ɡ u j x ɛ n
дуудаад	t ʊː t aː t
дуудав	t ʊː t a w
дуудавч	t ʊː t a w t͡ʃʰ
дуудаж	t ʊː t a t͡ʃ
дуудах	t ʊː t a x
дуудахад	t ʊː t a x a t
дуудвал	t ʊː t w a ɮ
дууддаг	t ʊː t t a ɡ
дуудлаа	t ʊː t ɮ aː
дуудлага	t ʊː t ɮ a ɡ a
дуудлагаар	t ʊː t ɮ a ɡ aː r
дуудлагатай	t ʊː t ɮ a ɡ a tʰ a j
дуудлагын	t ʊː t ɮ a ɡ iː n
дуудсан	t ʊː t s a n
дуудуулж	t ʊː t ʊː ɮ t͡ʃ
дуулаагүй	t ʊː ɮ aː ɡ u j
дуулаад	t ʊː ɮ aː t
дуулалдан	t ʊː ɮ a ɮ t a n
дуулалт	t ʊː ɮ a ɮ tʰ
дуулах	t ʊː ɮ a x
дуулгавал	t ʊː ɮ ɡ a w a ɮ
дуулгах	t ʊː ɮ ɡ a x
дуулгая	t ʊː ɮ ɡ a j
дуулдав	t ʊː ɮ t a w
дуулдаг	t ʊː ɮ t a ɡ
дуулдаггүйг	t ʊː ɮ t a ɡ ɡ u j ɡ
дуулдан	t ʊː ɮ t a n
дуулдах	t ʊː ɮ t a x
дуулдахгүй	t ʊː ɮ t a x ɡ u j
дуулдмаар	t ʊː ɮ t m aː r
дуулж	t ʊː ɮ t͡ʃ
дуулиан	t ʊː ɮ ia n
дууллаа	t ʊː ɮ ɮ aː
дуулмагц	t ʊː ɮ m a ɡ t͡sʰ
дуулна	t ʊː ɮ n a
дуулсан	t ʊː ɮ s a n
дууль	t ʊː ɮʲ
дуун	t ʊː n
дуунаас	t ʊː n aː s
дуунд	t ʊː n t
дууны	t ʊː n iː
дуурайгаад	t ʊː r a j ɡ aː t
дуурайл	t ʊː r a j ɮ
дуусаад	t ʊː s aː t
дуусав	t ʊː s a w
дуусаж	t ʊː s a t͡ʃ
дуусах	t ʊː s a x
дуусахгүй	t ʊː s a x ɡ u j
дуусашгүй	t ʊː s a ʃ ɡ u j
дуусгаад	t ʊː s ɡ aː t
дуусгалаа	t ʊː s ɡ a ɮ aː
дуусгана	t ʊː s ɡ a n a
дуусгах	t ʊː s ɡ a x
дууссан	t ʊː s s a n
дууссаны	t ʊː s s a n iː
дуустал	t ʊː s tʰ a ɮ
дуусчихлаа	t ʊː s t͡ʃʰ i x ɮ aː
дуутай	t ʊː tʰ a j
дуучин	t ʊː t͡ʃʰ i n
духан	t ʊ x a n
духанд	t ʊ x a n t
духи	t ʊ x i
духны	t ʊ x n iː
дэвжээндээ	t ɛ w t͡ʃ ɛː n t ɛː
дэвжээний	t ɛ w t͡ʃ ɛː n iː
дэвсгэр	t ɛ w s ɡ ɛ r
дэвсгэрийг	t ɛ w s ɡ ɛ r iː ɡ
дэвсгэртүүдийг	t ɛ w s ɡ ɛ r tʰ uː t iː ɡ
дэвсдэг	t ɛ w s t ɛ ɡ
дэвсэн	t ɛ w s ɛ n
дэвсээд	t ɛ w s ɛː t
дэвтрийг	t ɛ w tʰ r iː ɡ
дэвтрийн	t ɛ w tʰ r iː n
дэвтэр	t ɛ w tʰ ɛ r
дэвхрэгийн	t ɛ w x r ɛ ɡ iː n
дэвшигсэд	t ɛ w ʃ i ɡ s ɛ t
дэвшигч	t ɛ w ʃ i ɡ t͡ʃʰ
дэвшиж	t ɛ w ʃ i t͡ʃ
дэвшил	t ɛ w ʃ i ɮ
дэвшилттэй	t ɛ w ʃ i ɮ tʰtʰ ɛ j
дэвшилтэт	t ɛ w ʃ i ɮ tʰ ɛ tʰ
дэвшин	t ɛ w ʃ i n
дэвшмээр	t ɛ w ʃ m ɛː r
дэвшсэн	t ɛ w ʃ s ɛ n
дэвшүүлж	t ɛ w ʃ uː ɮ t͡ʃ
дэвшүүлсэн	t ɛ w ʃ uː ɮ s ɛ n
дэвшүүлье	t ɛ w ʃ uː ɮʲ j i
дэвэн	t ɛ w ɛ n
дэвэрч	t ɛ w ɛ r t͡ʃʰ
дэг	t ɛ ɡ
дэгдвэл	t ɛ ɡ t w ɛ ɮ
дэгджээ	t ɛ ɡ t t͡ʃ ɛː
дэгдмээр	t ɛ ɡ t m ɛː r
дэгдсэний	t ɛ ɡ t s ɛ n iː
дэгдэлгүй	t ɛ ɡ t ɛ ɮ ɡ u j
дэгдээгчдийг	t ɛ ɡ t ɛː ɡ t͡ʃʰ t iː ɡ
дэгжин	t ɛ ɡ t͡ʃ i n
дэглээчтэй	t ɛ ɡ ɮ ɛː t͡ʃʰ tʰ ɛ j
дэгээ	t ɛ ɡ ɛː
дэд	t ɛ t
дэл	t ɛ ɮ
дэлбэг	t ɛ ɮ p ɛ ɡ
дэлбэлэн	t ɛ ɮ p ɛ ɮ ɛ n
дэлбэлээд	t ɛ ɮ p ɛ ɮ ɛː t
дэлбэрлээ	t ɛ ɮ p ɛ r ɮ ɛː
дэлбэрч	t ɛ ɮ p ɛ r t͡ʃʰ
дэлбэрэхэд	t ɛ ɮ p ɛ r ɛ x ɛ t
дэлгэн	t ɛ ɮ ɡ ɛ n
дэлгэр	t ɛ ɮ ɡ ɛ r
дэлгэрч	t ɛ ɮ ɡ ɛ r t͡ʃʰ
дэлгэрчээ	t ɛ ɮ ɡ ɛ r t͡ʃʰ ɛː
дэлгэрүүлэн	t ɛ ɮ ɡ ɛ r uː ɮ ɛ n
дэлгэрүүлэх	t ɛ ɮ ɡ ɛ r uː ɮ ɛ x
дэлгэрүүлэхэд	t ɛ ɮ ɡ ɛ r uː ɮ ɛ x ɛ t
дэлгэх	t ɛ ɮ ɡ ɛ x
дэлгэц	t ɛ ɮ ɡ ɛ t͡sʰ
дэлгэцнээ	t ɛ ɮ ɡ ɛ t͡sʰ n ɛː
дэлгэцээр	t ɛ ɮ ɡ ɛ t͡sʰ ɛː r
дэлгээд	t ɛ ɮ ɡ ɛː t
дэлгүүр	t ɛ ɮ ɡ uː r
дэлгүүрийн	t ɛ ɮ ɡ uː r iː n
дэлгүүрээс	t ɛ ɮ ɡ uː r ɛː s
дэлдсэн	t ɛ ɮ t s ɛ n
дэллэж	t ɛ ɮ ɮ ɛ t͡ʃ
дэлсэх	t ɛ ɮ s ɛ x
дэлсэхийг	t ɛ ɮ s ɛ x iː ɡ
дэлсээд	t ɛ ɮ s ɛː t
дэлсүүлснээс	t ɛ ɮ s uː ɮ s n ɛː s
дэлхий	t ɛ ɮ x iː
дэлхийг	t ɛ ɮ x iː ɡ
дэлхийгээ	t ɛ ɮ x iː ɡ ɛː
дэлхийд	t ɛ ɮ x iː t
дэлхийн	t ɛ ɮ x iː n
дэлхийтэй	t ɛ ɮ x iː tʰ ɛ j
дэм	t ɛ m
дэмбэрэл	t ɛ m p ɛ r ɛ ɮ
дэмдээ	t ɛ m t ɛː
дэмждэг	t ɛ m t͡ʃ t ɛ ɡ
дэмждэггүй	t ɛ m t͡ʃ t ɛ ɡ ɡ u j
дэмжжээ	t ɛ m t͡ʃt͡ʃ ɛː
дэмжигч	t ɛ m t͡ʃ i ɡ t͡ʃʰ
дэмжигчид	t ɛ m t͡ʃ i ɡ t͡ʃʰ i t
дэмжиж	t ɛ m t͡ʃ i t͡ʃ
дэмжин	t ɛ m t͡ʃ i n
дэмжих	t ɛ m t͡ʃ i x
дэмжихгүй	t ɛ m t͡ʃ i x ɡ u j
дэмжихээр	t ɛ m t͡ʃ i x ɛː r
дэмжлэг	t ɛ m t͡ʃ ɮ ɛ ɡ
дэмжлэгтэйгээр	t ɛ m t͡ʃ ɮ ɛ ɡ tʰ ɛ j ɡ ɛː r
дэмжсэн	t ɛ m t͡ʃ s ɛ n
дэмжээгүйгээс	t ɛ m t͡ʃ ɛː ɡ u j ɡ ɛː s
дэмий	t ɛ m iː
